Samplename,Genome,Domain,StudyName,Phylum,Class,Order,Family,Genus,Species,Ecosystem,Ecosystem.Category,Ecosystem.Subtype,Ecosystem.Type,Environment,Genome_size_assembled,Gene_Count_assembled,Assimilatory Nitrite to ammonia,Dissimilatory Nitrite to Ammonia,Assimilatory Nitrate to Nitrite,Nitrogen Fixation,Dissimilatory Nitrate to Nitrite,Nitrification,Partial_Nitrification,Denitrification,Partial_NO,Partial_N2O,Partial_N2
Synechocystis sp. PCC 6803 GT-I,2513237196,Bacteria,Identification of substrain-specific mutations by massively parallel whole-genome resequencing of Synechocystis sp. PCC 6803,Cyanobacteria,unclassified,Synechococcales,Merismopediaceae,Synechocystis,Synechocystis sp. PCC 6803,Environmental,Aquatic,Ponds,Freshwater,Aquatic Freshwater,3570103,3217,complete,None,complete,None,None,None,None,incomplete,None,None,None
Synechocystis sp. PCC 6803 PCC-N,2513237195,Bacteria,Identification of substrain-specific mutations by massively parallel whole-genome resequencing of Synechocystis sp. PCC 6803,Cyanobacteria,unclassified,Synechococcales,Merismopediaceae,Synechocystis,Synechocystis sp. PCC 6803,Environmental,Aquatic,Ponds,Freshwater,Aquatic Freshwater,3570114,3217,complete,None,complete,None,None,None,None,incomplete,None,None,None
Synechocystis sp. PCC 6803 PCC-P,2524023216,Bacteria,Identification of substrain-specific mutations by massively parallel whole-genome resequencing of Synechocystis sp. PCC 6803,Cyanobacteria,unclassified,Synechococcales,Merismopediaceae,Synechocystis,Synechocystis sp. PCC 6803,Environmental,Aquatic,Ponds,Freshwater,Aquatic Freshwater,3570114,3218,complete,None,complete,None,None,None,None,incomplete,None,None,None
Cyanobacterium stanieri PCC 7202,2503283023,Bacteria,GEBA-PCC,Cyanobacteria,unclassified,Chroococcales,Cyanobacteriaceae,Cyanobacterium,Cyanobacterium stanieri,Environmental,Aquatic,Unclassified,Thermal springs,Aquatic Thermal springs,3163381,2941,complete,None,complete,None,None,None,None,incomplete,None,None,None
Gloeocapsa sp. PCC 7428,2503754017,Bacteria,GEBA-PCC,Cyanobacteria,unclassified,Chroococcales,Chroococcaceae,Gloeocapsa,Gloeocapsa sp. PCC 7428,Environmental,Aquatic,Unclassified,Thermal springs,Aquatic Thermal springs,5882710,5304,complete,None,complete,None,None,None,None,incomplete,None,None,None
Cyanobacterium aponinum PCC 10605,2503707009,Bacteria,GEBA-PCC,Cyanobacteria,unclassified,Chroococcales,Cyanobacteriaceae,Cyanobacterium,Cyanobacterium aponinum,,,,,Uncategorized,4176973,3614,complete,None,complete,None,None,None,None,incomplete,None,None,None
Geitlerinema sp. PCC 7407,2503538020,Bacteria,GEBA-PCC,Cyanobacteria,unclassified,Oscillatoriales,Coleofasciculaceae,Geitlerinema,Geitlerinema sp. PCC 7407,,,,,Uncategorized,4681111,3913,complete,None,complete,None,None,None,None,incomplete,None,None,None
Synechocystis sp. PCC 6803 PCC6803,2687453425,Bacteria,Synechocystis sp. PCC 6803 Genome sequencing and assembly,Cyanobacteria,unclassified,Synechococcales,Merismopediaceae,Synechocystis,Synechocystis sp. PCC 6803,,,,,Uncategorized,3569196,3356,complete,None,complete,None,None,None,None,incomplete,None,None,None
Microcoleus sp. PCC 7113,2509276031,Bacteria,GEBA-PCC,Cyanobacteria,unclassified,Oscillatoriales,Microcoleaceae,Microcoleus,Microcoleus sp. PCC 7113,Environmental,Terrestrial,Unclassified,Soil,Terrestrial Soil,7966510,6822,complete,complete,complete,complete,None,None,None,None,None,None,None
Cylindrospermum stagnale PCC 7417,2509601025,Bacteria,GEBA-PCC,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Cylindrospermum,Cylindrospermum stagnale,Environmental,Terrestrial,Unclassified,Soil,Terrestrial Soil,7610589,6739,complete,None,complete,complete,None,None,None,None,None,None,None
Nodularia spumigena CCY9414,2562617131,Bacteria,Nodularia spumigena CCY9414 Genome sequencing,Cyanobacteria,unclassified,Nostocales,Aphanizomenonaceae,Nodularia,Nodularia spumigena,Environmental,Aquatic,Unclassified,Marine,Aquatic  marine,5465271,5363,complete,None,complete,complete,None,None,None,None,None,None,None
Anabaena cylindrica PCC 7122,2503982047,Bacteria,GEBA-PCC,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Anabaena,Anabaena cylindrica,Environmental,Aquatic,Unclassified,Unclassified,Aquatic,7063285,6258,complete,None,complete,complete,None,None,None,None,None,None,None
Nostoc sp. PCC 7107,2503707008,Bacteria,GEBA-PCC,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Nostoc,Nostoc sp. PCC 7107,Environmental,Aquatic,Ponds,Freshwater,Aquatic Freshwater,6329823,5538,complete,None,complete,complete,None,None,None,None,None,None,None
Calothrix sp. PCC 7507,2505679032,Bacteria,GEBA-PCC,Cyanobacteria,unclassified,Nostocales,Rivulariaceae,Calothrix,Calothrix sp. PCC 7507,Environmental,Aquatic,Wetlands,Freshwater,Aquatic Freshwater,7023215,6250,complete,None,complete,complete,None,None,None,None,None,None,None
Calothrix sp. 336/3 null replaces 82363,2654587977,Bacteria,Calothrix sp. 336/3,Cyanobacteria,unclassified,Nostocales,Rivulariaceae,Calothrix,Calothrix sp. 336/3,,,,,Uncategorized,6420126,5494,complete,None,complete,complete,None,None,None,None,None,None,None
Anabaena sp. 90,2561511140,Bacteria,Anabaena sp. 90,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Anabaena,Anabaena sp. 90,Environmental,Aquatic,Lentic,Freshwater,Aquatic Freshwater,5305675,4797,complete,None,complete,complete,None,None,None,None,None,None,None
Nostoc piscinale CENA21,2648501874,Bacteria,Nostoc piscinale CENA21,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Nostoc,Nostoc piscinale,,,,,Uncategorized,7094556,6779,complete,None,complete,complete,None,None,None,None,None,None,None
Anabaena variabilis ATCC 29413,646564504,Bacteria,Anabaena variabilis ATCC 29413,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Anabaena,Anabaena variabilis,Engineered,Wastewater,Unclassified,Unclassified,engineered wastewater,7105752,5772,complete,None,complete,complete,None,None,None,None,None,None,None
Nostoc sp. PCC 7524,2509601032,Bacteria,GEBA-PCC,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Nostoc,Nostoc sp. PCC 7524,Environmental,Aquatic,Unclassified,Thermal springs,Aquatic Thermal springs,6718869,5688,complete,None,complete,complete,None,None,None,None,None,None,None
Anabaena sp. WA102,2651869734,Bacteria,Anabaena sp. WA102 genome sequencing,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Anabaena,Anabaena sp. WA102,,,,,Uncategorized,5705437,5262,complete,None,complete,complete,None,None,None,None,None,None,None
Calothrix sp. PCC 6303,2503982036,Bacteria,GEBA-PCC,Cyanobacteria,unclassified,Nostocales,Rivulariaceae,Calothrix,Calothrix parietina,Host-associated,Algae,Unclassified,Unclassified,Plant host,6960392,5840,complete,None,complete,complete,None,None,None,None,None,None,None
Nostoc sp. PCC 7120,637000199,Bacteria,Nostoc sp. PCC 7120,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Nostoc,Nostoc sp. PCC 7120,Environmental,Aquatic,Unclassified,Freshwater,Aquatic Freshwater,7211789,6222,complete,None,complete,complete,None,None,None,None,None,None,None
Nostoc sp. NIES-3756,2671180707,Bacteria,Complete genome sequence of Nostoc sp. NIES-3756,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Nostoc,Nostoc sp. NIES-3756,,,,,Uncategorized,6987571,6044,complete,None,complete,complete,None,None,None,None,None,None,None
Fischerella sp. NIES-3754,2687453106,Bacteria,Genome sequence of Fischerella sp. NIES-3754,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Fischerella,Fischerella sp. NIES-3754,,,,,Uncategorized,5826863,5017,complete,None,complete,complete,None,None,None,None,None,None,None
Nostoc azollae 0708,648028001,Bacteria,DOEM_782002,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Trichormus,Trichormus azollae,Host-associated,Plants,Unclassified,Unclassified,Plant host,5486145,5379,complete,None,complete,complete,None,None,None,None,None,None,None
Rivularia sp. PCC 7116,2510065008,Bacteria,GEBA-PCC,Cyanobacteria,unclassified,Nostocales,Rivulariaceae,Rivularia,Rivularia sp. PCC 7116,Host-associated,Algae,Unclassified,Unclassified,Plant host,8728773,6946,complete,None,complete,complete,None,None,None,None,None,None,None
"Cyanothece sp. BH68, ATCC 51142",641522622,Bacteria,"Cyanothece sp. BH68, ATCC 51142",Cyanobacteria,unclassified,Oscillatoriales,Cyanothecaceae,Cyanothece,Cyanothece sp. ATCC 51142,Environmental,Aquatic,Intertidal zone,Marine,Aquatic  marine,5460377,5354,complete,None,complete,complete,None,None,None,None,None,None,None
Halothece sp. PCC 7418,2503538028,Bacteria,GEBA-PCC,Cyanobacteria,unclassified,Chroococcales,Aphanothecaceae,Halothece,Halothece sp. PCC 7418,Environmental,Aquatic,Lentic,Freshwater,Aquatic Freshwater,4179170,3920,complete,None,complete,complete,None,None,None,None,None,None,None
Trichodesmium erythraeum IMS101,637000329,Bacteria,Trichodesmium erythraeum IMS101,Cyanobacteria,unclassified,Oscillatoriales,Microcoleaceae,Trichodesmium,Trichodesmium erythraeum,Environmental,Aquatic,Neritic zone,Marine,Aquatic  marine,7750108,5156,complete,None,complete,complete,None,None,None,None,None,None,None
Synechococcus sp. JA-2-3B'a(2-13),637000312,Bacteria,Hot spring microbial mat cyanobacterial strain,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. JA-2-3B'a(2-13),Environmental,Aquatic,Unclassified,Thermal springs,Aquatic Thermal springs,3046682,2947,complete,None,complete,complete,None,None,None,None,None,None,None
Synechococcus sp. JA-3-3Ab,637000313,Bacteria,Hot spring microbial mat cyanobacterial strain,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. JA-3-3Ab,Environmental,Aquatic,Unclassified,Thermal springs,Aquatic Thermal springs,2932766,2900,complete,None,complete,complete,None,None,None,None,None,None,None
Cyanothece sp. PCC 7424,643348533,Bacteria,Cyanothece Sequencing CSP_777088,Cyanobacteria,unclassified,Oscillatoriales,Cyanothecaceae,Cyanothece,Cyanothece sp. PCC 7424,Environmental,Terrestrial,Unclassified,Agricultural field,Terrestrial Agriculture field,6554169,5933,complete,None,complete,complete,None,None,None,None,None,None,None
Cyanothece sp. PCC 7425,643348534,Bacteria,Cyanothece Sequencing CSP_777088,Cyanobacteria,unclassified,Oscillatoriales,Cyanothecaceae,Cyanothece,Cyanothece sp. PCC 7425,Environmental,Terrestrial,Unclassified,Agricultural field,Terrestrial Agriculture field,5786110,5481,complete,None,complete,complete,None,None,None,None,None,None,None
Cyanothece sp. PCC 7822,648028021,Bacteria,Cyanothece Sequencing CSP_777088,Cyanobacteria,unclassified,Oscillatoriales,Cyanothecaceae,Cyanothece,Cyanothece sp. PCC 7822,Environmental,Terrestrial,Unclassified,Agricultural field,Terrestrial Agriculture field,7841948,7041,complete,None,complete,complete,None,None,None,None,None,None,None
Cyanothece sp. PCC 8801,643348535,Bacteria,Cyanothece Sequencing CSP_777088,Cyanobacteria,unclassified,Oscillatoriales,Cyanothecaceae,Cyanothece,Cyanothece sp. PCC 8801,Environmental,Terrestrial,Unclassified,Agricultural field,Terrestrial Agriculture field,4787694,4615,complete,None,complete,complete,None,None,None,None,None,None,None
Cyanothece sp. PCC 8802,644736348,Bacteria,Cyanothece Sequencing CSP_777088,Cyanobacteria,unclassified,Oscillatoriales,Cyanothecaceae,Cyanothece,Cyanothece sp. PCC 8802,Environmental,Terrestrial,Unclassified,Soil,Terrestrial Soil,4803347,4697,complete,None,complete,complete,None,None,None,None,None,None,None
Leptolyngbya sp. O-77,2681813363,Bacteria,Complete genome sequence of Leptolyngbya sp. O-77,Cyanobacteria,unclassified,Synechococcales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya sp. O-77,,,,,Uncategorized,5480261,4941,complete,None,complete,complete,None,None,None,None,None,None,None
Candidatus Atelocyanobacterium thalassa ALOHA,646311970,Bacteria,Cyanobacterium sp. UCYN-A,Cyanobacteria,unclassified,Chroococcales,Aphanothecaceae,Candidatus Atelocyanobacterium,Candidatus Atelocyanobacterium thalassa,Environmental,Aquatic,Unclassified,Marine,Aquatic  marine,1443806,1241,None,None,None,complete,None,None,None,None,None,None,None
Nostoc punctiforme PCC 73102,642555144,Bacteria,Nostoc punctiforme ATCC 29133,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Nostoc,Nostoc punctiforme,Host-associated,Plants,Unclassified,Rhizome,Plant host,9059191,6791,complete,None,complete,incomplete,None,None,None,None,None,None,None
Chamaesiphon minutus PCC 6605,2510436000,Bacteria,GEBA-PCC,Cyanobacteria,unclassified,Synechococcales,Chamaesiphonaceae,Chamaesiphon,Chamaesiphon minutus,Environmental,Aquatic,Unclassified,Freshwater,Aquatic Freshwater,6761765,6427,complete,complete,complete,None,None,None,None,None,None,None,None
Leptolyngbya sp. NIES-3755,2687453458,Bacteria,Complete genome sequence of Leptolyngbya sp. NIES-3755,Cyanobacteria,unclassified,Synechococcales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya sp. NIES-3755,,,,,Uncategorized,6761657,6729,complete,complete,complete,None,None,None,None,None,None,None,None
Leptolyngbya sp. PCC 7376,2503754048,Bacteria,GEBA-PCC,Cyanobacteria,unclassified,Synechococcales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya sp. PCC 7376,Environmental,Terrestrial,Unclassified,Geologic,Terrestrial Geologic,5125950,4654,complete,complete,complete,None,None,None,None,None,None,None,None
Pseudanabaena sp. PCC 7367,2504643012,Bacteria,GEBA-PCC,Cyanobacteria,unclassified,Synechococcales,Pseudanabaenaceae,Pseudanabaena,Pseudanabaena sp. PCC 7367,,,,,Uncategorized,4885680,4015,complete,incomplete,complete,None,None,None,None,None,None,None,None
Gloeobacter violaceus PCC 7421,637000121,Bacteria,Gloeobacter violaceus PCC 7421,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,Gloeobacter violaceus,Environmental,Terrestrial,Unclassified,Geologic,Terrestrial Geologic,4659019,4490,complete,incomplete,complete,None,None,None,None,None,None,None,None
Gloeobacter kilaueensis JS1,2558309063,Bacteria,Gloeobacter kilaueensis JS1,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,Gloeobacter kilaueensis,,,,,Uncategorized,4724791,4562,complete,incomplete,complete,None,None,None,None,None,None,None,None
Microcystis panniformis FACHB-1757,2645727631,Bacteria,Microcystis panniformis FACHB-1757,Cyanobacteria,unclassified,Chroococcales,Microcystaceae,Microcystis,Microcystis panniformis,Environmental,Aquatic,Drinking water,Freshwater,Aquatic Freshwater,5686839,5766,complete,None,complete,None,None,None,None,None,None,None,None
Synechococcus sp. PCC 7502,2508501041,Bacteria,GEBA-PCC,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. PCC 7502,Environmental,Aquatic,Wetlands,Freshwater,Aquatic Freshwater,3583735,3669,complete,None,complete,None,None,None,None,None,None,None,None
Microcystis aeruginosa NIES-843,641522640,Bacteria,Microcystis aeruginosa NIES-843,Cyanobacteria,unclassified,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa,Environmental,Aquatic,Lentic,Freshwater,Aquatic Freshwater,5842795,6360,complete,None,complete,None,None,None,None,None,None,None,None
Prochlorococcus sp. MIT0604,2606217688,Bacteria,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Cyanobacteria,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus sp. MIT 0604,Environmental,Aquatic,Pelagic,Marine,Aquatic  marine,1780061,2089,complete,None,complete,None,None,None,None,None,None,None,None
Arthrospira platensis NIES-39,650377906,Bacteria,Arthrospira platensis NIES-39,Cyanobacteria,unclassified,Oscillatoriales,Microcoleaceae,Arthrospira,Arthrospira platensis,Environmental,Aquatic,Saline,Non-marine Saline and Alkaline,Aquatic Non -marine and Alkaline,6788435,6676,complete,None,complete,None,None,None,None,None,None,None,None
Synechococcus elongatus PCC 6301,637000307,Bacteria,Synechococcus elongatus PCC 6301,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus elongatus,Environmental,Aquatic,Unclassified,Freshwater,Aquatic Freshwater,2696255,2585,complete,None,complete,None,None,None,None,None,None,None,None
Synechococcus elongatus PCC 7942,637000308,Bacteria,Synechococcus elongatus PCC7942,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus elongatus,Environmental,Aquatic,Unclassified,Freshwater,Aquatic Freshwater,2742269,2719,complete,None,complete,None,None,None,None,None,None,None,None
Synechococcus sp. PCC 6312,2509276030,Bacteria,GEBA-PCC,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. PCC 6312,Environmental,Aquatic,Unclassified,Freshwater,Aquatic Freshwater,3720499,3794,complete,None,complete,None,None,None,None,None,None,None,None
Microcystis aeruginosa NIES-2481,2721755494,Bacteria,Microcystis aeruginosa NIES-2481 Genome sequencing,Cyanobacteria,unclassified,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa,Environmental,Aquatic,,Freshwater,Aquatic Freshwater,4293006,4067,complete,None,complete,None,None,None,None,None,None,None,None
Arthrospira platensis YZ,2687453185,Bacteria,Arthrospira platensis YZ genome sequencing and assembly,Cyanobacteria,unclassified,Oscillatoriales,Microcoleaceae,Arthrospira,Arthrospira platensis,,,,,Uncategorized,6520772,6587,complete,None,complete,None,None,None,None,None,None,None,None
Geminocystis sp. NIES-3708,2675903523,Bacteria,Geminocystis sp. NIES 3708,Cyanobacteria,unclassified,Chroococcales,Chroococcaceae,Geminocystis,Geminocystis sp. NIES-3708,,,,,Uncategorized,4042078,3666,complete,None,complete,None,None,None,None,None,None,None,None
Microcystis aeruginosa NIES-2549,2645727547,Bacteria,Microcystis aeruginosa NIES-2549 Genome sequencing,Cyanobacteria,unclassified,Chroococcales,Microcystaceae,Microcystis,Microcystis aeruginosa,,,,,Uncategorized,4294213,4043,complete,None,complete,None,None,None,None,None,None,None,None
Synechococcus sp. UTEX 2973,2630968581,Bacteria,Synechococcus sp. UTEX 2973,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. UTEX 2973,,,,,Uncategorized,2744626,2785,complete,None,complete,None,None,None,None,None,None,None,None
Candidatus Gloeomargarita lithophora D10,2718217921,Bacteria,Gloeomargarita lithophora Genome sequencing,Cyanobacteria,unclassified,Gloeoemargaritales,Gloeomargaritaceae,Gloeomargarita,Gloeomargarita lithophora,Environmental,Aquatic,Intertidal zone,Marine,Aquatic  marine,3049282,3134,complete,None,complete,None,None,None,None,None,None,None,None
Cyanobium gracile PCC 6307,2508501011,Bacteria,GEBA-PCC,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Cyanobium,Cyanobium gracile,Environmental,Aquatic,Lentic,Freshwater,Aquatic Freshwater,3342364,3439,complete,None,complete,None,None,None,None,None,None,None,None
Dactylococcopsis salina PCC 8305,2509276056,Bacteria,GEBA-PCC,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Dactylococcopsis,Dactylococcopsis salina,Environmental,Aquatic,Lentic,Freshwater,Aquatic Freshwater,3781008,3685,complete,None,complete,None,None,None,None,None,None,None,None
Synechococcus sp. KORDI-49 (genome sequencing),2507262011,Bacteria,Genome sequencing of marine Synechococcus sp.,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. KORDI-49,Environmental,Aquatic,Marginal Sea,Marine,Aquatic  marine,2585813,2717,complete,None,complete,None,None,None,None,None,None,None,None
Synechococcus sp. KORDI-52 (genome sequencing),2507262012,Bacteria,Genome sequencing of marine Synechococcus sp.,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. KORDI-52,Environmental,Aquatic,Marginal Sea,Marine,Aquatic  marine,2572069,2823,complete,None,complete,None,None,None,None,None,None,None,None
Synechococcus sp. KORDI-100 (genome sequencing),2507262013,Bacteria,Genome sequencing of marine Synechococcus sp.,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. KORDI-100,Environmental,Aquatic,Oceanic,Marine,Aquatic  marine,2789000,3058,complete,None,complete,None,None,None,None,None,None,None,None
Synechococcus sp. CC9311,637000309,Bacteria,Prochlorococcus sp. CC9311,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. CC9311,Environmental,Aquatic,Pelagic,Marine,Aquatic  marine,2606748,2951,complete,None,complete,None,None,None,None,None,None,None,None
Synechococcus sp. CC9605,637000310,Bacteria,Synechococcus,Cyanobacteria,unclassified,Chroococcales,unclassified,Synechococcus,sp.,Environmental,Aquatic,Pelagic,Marine,Aquatic  marine,2510659,2761,complete,None,complete,None,None,None,None,None,None,None,None
Synechococcus sp. CC9902,637000311,Bacteria,Synechococcus,Cyanobacteria,unclassified,Chroococcales,unclassified,Synechococcus,sp.,Environmental,Aquatic,Pelagic,Marine,Aquatic  marine,2234828,2410,complete,None,complete,None,None,None,None,None,None,None,None
Synechococcus sp. RCC307,640427148,Bacteria,Synechococcus sp. RCC 307,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. RCC307,Environmental,Aquatic,Pelagic,Marine,Aquatic  marine,2224914,2588,complete,None,complete,None,None,None,None,None,None,None,None
Synechococcus sp. WH 8109,2563366603,Bacteria,Synechococcus sp. WH 8109,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. WH 8109,Environmental,Aquatic,Pelagic,Marine,Aquatic  marine,2111515,2713,complete,None,complete,None,None,None,None,None,None,None,None
Synechococcus sp. WH7803,640427149,Bacteria,Prochlorococcus sp. WH 7803,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. WH 7803,Environmental,Aquatic,Pelagic,Marine,Aquatic  marine,2366980,2591,complete,None,complete,None,None,None,None,None,None,None,None
Synechococcus sp. WH8102,637000314,Bacteria,Synechococcus sp. WH8102,Cyanobacteria,unclassified,Chroococcales,unclassified,Synechococcus,sp.,Environmental,Aquatic,Pelagic,Marine,Aquatic  marine,2434428,2588,complete,None,complete,None,None,None,None,None,None,None,None
Stanieria cyanosphaera PCC 7437,2503754019,Bacteria,GEBA-PCC,Cyanobacteria,unclassified,Pleurocapsales,Dermocarpellaceae,Stanieria,Stanieria cyanosphaera,Environmental,Aquatic,Ponds,Freshwater,Aquatic Freshwater,5544990,5041,complete,None,complete,None,None,None,None,None,None,None,None
Synechococcus sp. PCC 7002,641522654,Bacteria,Synechococcus sp. PCC 7002,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. PCC 7002,Environmental,Aquatic,Unclassified,Sediment,Aquatic  sediment,3409935,3237,complete,None,complete,None,None,None,None,None,None,None,None
Thermosynechococcus elongatus BP-1,637000320,Bacteria,Thermosynechococcus elongatus BP-1,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Thermosynechococcus,Thermosynechococcus elongatus,Environmental,Aquatic,Unclassified,Thermal springs,Aquatic Thermal springs,2593857,2555,complete,None,complete,None,None,None,None,None,None,None,None
Moorea producens PAL-8-15-08-1,2718217854,Bacteria,Moorea producens PAL 15AUG08-1 Genome sequencing,Cyanobacteria,unclassified,Oscillatoriales,Oscillatoriaceae,Moorea,Moorea producens,Environmental,Aquatic,,Marine,Aquatic  marine,9708656,7441,complete,None,complete,None,None,None,None,None,None,None,None
Crinalium epipsammum PCC 9333,2504643013,Bacteria,GEBA-PCC,Cyanobacteria,unclassified,Oscillatoriales,Gomontiellaceae,Crinalium,Crinalium epipsammum,,,,,Uncategorized,5620407,5059,complete,None,complete,None,None,None,None,None,None,None,None
Geminocystis sp. NIES-3709,2671180423,Bacteria,Geminocystis sp. NIES 3709 genome sequencing,Cyanobacteria,unclassified,Chroococcales,Chroococcaceae,Geminocystis,Geminocystis sp. NIES-3709,,,,,Uncategorized,4426059,3922,complete,None,complete,None,None,None,None,None,None,None,None
Synechococcus sp. SynAce01,2718218441,Bacteria,Synechococcus sp. SynAce01 Genome sequencing,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. SynAce01,,,,,Uncategorized,2750634,2950,complete,None,complete,None,None,None,None,None,None,None,None
Synechococcus sp. WH 8020,2645727663,Bacteria,Synechococcus sp. WH 8020 Genome sequencing,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. WH 8020,,,,,Uncategorized,2661066,2970,complete,None,complete,None,None,None,None,None,None,None,None
Synechococcus sp. WH 8103 WH8103,2687453380,Bacteria,Complete genome of the marine Synechococcus sp. WH8103 strain sequenced using Illumina technology,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. WH 8103,,,,,Uncategorized,2429688,2751,complete,None,complete,None,None,None,None,None,None,None,None
Thermosynechococcus sp. NK55a,2597489959,Bacteria,Thermosynechococcus elongatus NK55 Genome sequencing,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Thermosynechococcus,Thermosynechococcus sp. NK55a,,,,,Uncategorized,2520064,2497,complete,None,complete,None,None,None,None,None,None,None,None
Prochlorococcus marinus MIT9313,637000211,Bacteria,Prochlorococcus sp. MIT9313,Cyanobacteria,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Aquatic  marine,2410873,2334,complete,None,None,None,None,None,None,None,None,None,None
Prochlorococcus sp. MIT0801,2606217560,Bacteria,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Cyanobacteria,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus sp. MIT 0801,Environmental,Aquatic,Pelagic,Marine,Aquatic  marine,1929203,2218,complete,None,None,None,None,None,None,None,None,None,None
Prochlorococcus sp. MIT9303,640069323,Bacteria,Prochlorococcus marinus sequencing - JCVI,Cyanobacteria,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Aquatic  marine,2682675,3133,complete,None,None,None,None,None,None,None,None,None,None
Prochlorococcus sp. NATL1A,640069325,Bacteria,Prochlorococcus marinus sequencing - JCVI,Cyanobacteria,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Aquatic  marine,1864731,2251,complete,None,None,None,None,None,None,None,None,None,None
Prochlorococcus sp. NATL2A,637000212,Bacteria,Prochlorococcus sp. NATL2A,Cyanobacteria,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Aquatic  marine,1842899,1985,complete,None,None,None,None,None,None,None,None,None,None
Prochlorococcus marinus pastoris CCMP 1986,637000214,Bacteria,Prochlorococcus marinus subsp. pastoris CCMP1986,Cyanobacteria,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Marginal Sea,Marine,Aquatic  marine,1657990,2069,None,None,None,None,None,None,None,None,None,None,None
Prochlorococcus marinus MIT9312,637000210,Bacteria,Prochlorococcus marinus MIT9312,Cyanobacteria,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Aquatic  marine,1709204,1860,None,None,None,None,None,None,None,None,None,None,None
